Run,Total Distance,Finished,Times Charged,Battery Threshold,Num Stations
67,3660,True,16,0.4,20.0
68,4107,True,18,0.4,20.0
69,4316,True,20,0.4,20.0
70,3870,True,17,0.4,20.0
71,3193,True,15,0.4,20.0
72,4007,True,17,0.4,20.0
73,3976,True,17,0.4,20.0
74,3987,True,17,0.4,20.0
75,3456,True,15,0.4,20.0
76,301,False,1,0.4,20.0
77,3898,True,18,0.4,20.0
78,4046,True,18,0.4,20.0
79,3918,True,17,0.4,20.0
80,3246,True,15,0.4,20.0
81,3704,True,16,0.4,20.0
82,3803,True,16,0.4,20.0
83,3878,True,16,0.4,20.0
84,2456,False,9,0.4,20.0
85,3262,True,15,0.4,20.0
86,3746,True,17,0.4,20.0
87,4080,True,18,0.4,20.0
88,3861,True,17,0.4,20.0
89,3826,True,17,0.4,20.0
90,3585,True,17,0.4,20.0
91,3575,True,16,0.4,20.0
92,4029,True,18,0.4,20.0
93,4187,True,19,0.4,20.0
94,4087,True,18,0.4,20.0
95,3909,True,18,0.4,20.0
96,4068,True,18,0.4,20.0
97,4342,True,18,0.4,20.0
98,3874,True,17,0.4,20.0
99,3946,True,17,0.4,20.0
100,4215,True,18,0.4,20.0
101,3154,True,14,0.4,20.0
102,3697,True,19,0.4,20.0
103,4116,True,17,0.4,20.0
104,3848,True,17,0.4,20.0
105,4089,True,17,0.4,20.0
106,3399,True,15,0.4,20.0
107,3887,True,17,0.4,20.0
108,3913,True,17,0.4,20.0
109,3824,True,17,0.4,20.0
110,3875,True,18,0.4,20.0
111,303,False,0,0.4,20.0
112,3791,True,17,0.4,20.0
113,3778,True,16,0.4,20.0
114,3774,True,17,0.4,20.0
115,3827,True,17,0.4,20.0
116,3722,True,18,0.4,20.0
117,4444,True,19,0.4,20.0
118,3933,True,16,0.4,20.0
119,3568,True,15,0.4,20.0
120,4306,True,18,0.4,20.0
121,3465,True,15,0.4,20.0
122,4052,True,18,0.4,20.0
123,4083,True,17,0.4,20.0
124,4068,True,16,0.4,20.0
125,3979,True,20,0.4,20.0
126,3614,True,16,0.4,20.0
